Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,HDFC.NS,ICICIBANK.NS,KOTAKBANK.NS,ITC.NS,LT.NS,AXISBANK.NS,POWERGRID.NS,HINDUNILVR.NS,SUNPHARMA.NS,BAJFINANCE.NS,ADANIPORTS.NS,ASIANPAINT.NS,TITAN.NS,BHARTIARTL.NS,HCLTECH.NS,MARUTI.NS,JSWSTEEL.NS,BRITANNIA.NS,ULTRACEMCO.NS,COALINDIA.NS,BAJAJ-AUTO.NS,WIPRO.NS,HEROMOTOCO.NS,DRREDDY.NS,SHREECEM.NS,NTPC.NS,TECHM.NS,CIPLA.NS,GRASIM.NS,NESTLEIND.NS,ONGC.NS,DIVISLAB.NS,ICICIPRULI.NS,SBILIFE.NS,HDFCLIFE.NS,IOC.NS,BAJAJFINSV.NS,INDUSINDBK.NS,M&M.NS,ADANIGREEN.NS,UPL.NS,BPCL.NS,TATAMOTORS.NS
2010-01-04,481.1130065917969,286.9167175292969,153.9895782470703,240.31442260742188,,132.61825561523438,203.6747283935547,60.98824691772461,614.26953125,180.734619140625,34.256954193115234,206.4630889892578,137.62997436523438,30.488679885864258,102.79938507080078,159.7081756591797,65.22634887695312,279.29644775390625,70.28048706054688,1385.09521484375,79.88907623291016,135.96180725097656,912.9183959960938,,579.1483154296875,136.69046020507812,1069.9097900390625,1014.7687377929688,1836.6009521484375,113.69043731689453,193.31617736816406,311.4217224121094,352.7614440917969,443.5066833496094,111.41654968261719,289.5814208984375,,,,27.112140655517578,34.74025344848633,131.20376586914062,251.44102478027344,,97.63597106933594,60.205936431884766,152.6649932861328
2010-01-05,478.9656982421875,286.99298095703125,154.125,241.11924743652344,,133.87704467773438,205.6919403076172,61.58934783935547,615.359130859375,184.505615234375,34.3636360168457,205.80006408691406,141.76612854003906,30.28428840637207,106.34452056884766,160.2126922607422,66.56393432617188,283.719482421875,71.86182403564453,1353.3126220703125,88.63201141357422,136.16552734375,931.8174438476562,,581.8232421875,138.8478240966797,1072.689453125,1046.1317138671875,1913.950439453125,112.44003295898438,195.7916717529297,305.84002685546875,364.4156799316406,443.5066833496094,113.3681640625,289.1282043457031,,,,27.21554183959961,34.81758499145508,131.0659637451172,256.06988525390625,,102.42398834228516,59.29927062988281,150.0049591064453
2010-01-06,486.7046813964844,280.50384521484375,154.22882080078125,237.60089111328125,,134.90219116210938,208.19178771972656,61.73361587524414,608.549560546875,181.4086456298828,34.60745620727539,206.97007751464844,143.60594177246094,30.7197208404541,111.61602020263672,159.73052978515625,67.63536071777344,280.7135009765625,69.6933822631836,1304.924072265625,89.7292709350586,134.9269561767578,932.9513549804688,,572.8286743164062,136.04031372070312,1058.9482421875,1072.963623046875,1983.345947265625,111.9006118774414,196.7554168701172,318.2027282714844,379.50177001953125,443.5066833496094,114.79905700683594,296.89813232421875,,,,27.17676544189453,33.99606704711914,134.1887664794922,262.21209716796875,,100.60396575927734,58.40647888183594,150.23583984375
2010-01-07,494.7791748046875,272.6978759765625,154.63055419921875,232.2613067626953,,133.62831115722656,210.53073120117188,61.54127883911133,605.6259155273438,182.69296264648438,34.9122314453125,206.5410919189453,141.41921997070312,30.533103942871094,110.29582977294922,158.10098266601562,69.31707763671875,282.903564453125,68.20671844482422,1297.4693603515625,87.81590270996094,134.37289428710938,924.493896484375,,562.7808227539062,133.62689208984375,1032.589599609375,1056.3492431640625,2108.1904296875,111.92513275146484,192.4280242919922,315.5733947753906,370.842529296875,443.5066833496094,114.9210433959961,306.43792724609375,,,,26.750246047973633,33.73028564453125,131.15780639648438,257.2159729003906,,99.65198516845703,57.27313232421875,145.1005401611328
2010-01-08,493.48187255859375,267.1246337890625,154.83367919921875,226.66415405273438,,131.7514190673828,209.23129272460938,61.673526763916016,609.4574584960938,185.0794677734375,35.003662109375,207.4380645751953,143.80227661132812,31.088491439819336,110.16658782958984,160.71270751953125,68.67694091796875,279.1676330566406,66.61587524414062,1279.47998046875,87.31609344482422,134.67030334472656,935.7861938476562,,553.4686279296875,131.6173095703125,1027.593017578125,1060.9249267578125,2077.68115234375,113.32267761230469,197.4923858642578,314.6968994140625,382.32342529296875,2099.219970703125,114.06721496582031,298.6895446777344,,,,27.206926345825195,33.826934814453125,130.69859313964844,257.2382507324219,,99.03598022460938,58.24456024169922,145.89486694335938
2010-01-11,483.7969665527344,272.6214599609375,154.2107391357422,229.00509643554688,,131.06549072265625,210.03570556640625,61.69756317138672,609.1488647460938,191.1731719970703,35.223365783691406,207.5550079345703,143.77943420410156,31.874927520751953,113.9148178100586,160.44039916992188,68.12174987792969,282.5170593261719,67.27872467041016,1298.763916015625,89.2372817993164,134.63772583007812,936.9673461914062,,558.2501220703125,130.30711364746094,1047.0804443359375,1066.2999267578125,2126.4404296875,114.22984313964844,196.24522399902344,315.80401611328125,389.9913024902344,2102.8388671875,114.14222717285156,297.2650451660156,,,,27.474048614501953,33.97673797607422,130.88229370117188,257.97265625,,98.3079833984375,58.0919075012207,145.9595184326172
2010-01-12,485.0718688964844,286.30596923828125,153.0416259765625,237.95506286621094,,127.04791259765625,203.7118682861328,60.1226692199707,609.8569946289062,191.1549530029297,34.71754837036133,204.4740753173828,143.51466369628906,30.675283432006836,115.62274932861328,164.62808227539062,67.94738006591797,276.7627868652344,69.66499328613281,1286.4881591796875,88.09315490722656,135.78662109375,930.3998413085938,,569.6688842773438,136.69046020507812,1027.3118896484375,1074.607177734375,2044.2708740234375,112.48905181884766,197.57748413085938,313.3591613769531,387.7588195800781,2106.120361328125,111.74497985839844,294.9771728515625,,,,27.396488189697266,33.160057067871094,128.54014587402344,265.3165588378906,,94.5839614868164,58.05952835083008,145.24830627441406
2010-01-13,486.97308349609375,301.00201416015625,152.5089874267578,246.83595275878906,,126.7313461303711,201.22439575195312,59.85816955566406,607.6597900390625,189.515380859375,35.23869323730469,204.74705505371094,141.32333374023438,29.0579891204834,119.98954772949219,165.92279052734375,67.41969299316406,273.4562683105469,71.57775115966797,1275.5517578125,89.1513671875,135.29367065429688,975.568603515625,,570.972900390625,140.98544311523438,1015.4447021484375,1091.2659912109375,2065.00048828125,112.48905181884766,205.42910766601562,315.38885498046875,392.6188049316406,2094.76025390625,112.15311431884766,300.6319274902344,,,,27.891952514648438,32.80730056762695,126.0143814086914,256.72637939453125,,96.3199691772461,58.26768493652344,144.99893188476562
2010-01-14,501.7799987792969,297.68115234375,152.01246643066406,247.41090393066406,,125.9247817993164,204.04603576660156,59.66581344604492,605.9165649414062,194.21546936035156,35.97443389892578,199.7161102294922,142.39158630371094,29.835535049438477,118.02310180664062,168.01663208007812,69.62220001220703,273.15570068359375,70.09111022949219,1263.1422119140625,92.31819915771484,136.9152069091797,986.5300903320312,,571.5078735351562,146.00938415527344,1012.6649780273438,1099.1287841796875,2113.665771484375,113.27363586425781,204.36141967773438,314.42010498046875,394.0955505371094,2161.111572265625,115.57312774658203,299.4449462890625,,,,28.07720375061035,32.87494659423828,126.38175964355469,260.7433166503906,,94.69596862792969,57.89762496948242,144.48170471191406
2010-01-15,496.881591796875,302.0897521972656,152.9468231201172,246.12770080566406,,127.00267791748047,203.42723083496094,60.77186584472656,599.6699829101562,196.34690856933594,36.37295150756836,199.9891357421875,139.25064086914062,30.12433433532715,119.84181213378906,167.14602661132812,69.54649353027344,272.597412109375,69.95852661132812,1261.8919677734375,92.14244842529297,138.01119995117188,979.8681640625,,577.4263305664062,144.9849090576172,1015.194580078125,1092.7767333984375,2078.10302734375,113.88658905029297,214.88711547851562,323.092529296875,394.81658935546875,2115.08251953125,113.51360321044922,297.4161071777344,,,,27.947956085205078,33.203548431396484,130.19346618652344,257.5274963378906,,93.37997436523438,57.11585235595703,147.2617950439453
